Model,Train_Accuracy,Test_Accuracy,Performance
XGBoost,0.9911811023622047,0.45042492917847027,0.7208030157703375
RandomForest,0.9911811023622047,0.44192634560906513,0.7165537239856349
GradientBoosting,0.9911811023622047,0.40793201133144474,0.6995565568468247
CART,0.9911811023622047,0.35127478753541075,0.6712279449488077
C4.5,0.9911811023622047,0.34277620396600567,0.6669786531641052
