cluster_id,样本数,占比,销量均值,好评率均值
0,825,23.4%,7.8545454545454545,9.324009324009321e-05
1,568,16.1%,423295.6338028169,0.8635555754003318
2,765,21.7%,2790.856209150327,0.6953586048424265
3,371,10.5%,1903.7735849056603,0.3964811007876314
4,999,28.3%,432.012012012012,0.9651351734939054
